ident,title,description,question,annotation_score,annotation_category
B00125ABBU,"Crane Five Stage Air Purifier, Shark","Crane Shark Air Purifier provides true HEPA Filtration and UV Germicidal Light to help remove 99.97 % of airborne germs and allergens that can cause Allergy, Cold and Flu. The 5 Step Advanced Air Cleaning System eliminates Bacteria, Viruses, Germs, Pollen, Smoke and common Household Dust.",does it get rid of cigarette smoke odors?,3,s
B0002KNLYU,Coaster Five Tier Black Metal Bookcase,"This simple metal bookcase will be a wonderful addition to your home office, or any other room that needs additional storage. The Black metal construction is sturdy, with supports on the sides to keep your items securely place on the shelves. Five spacious shelves will accommodate books and other office supplies, helping to keep your room neat and tidy. Add this bookcase to your home for a convenient storage solution. A smaller unit is also available.The Bookcases Casual Metal Bookcase by Coaster is available in the area from Coaster.","for a classroom, will the shelves be sturdy and high enough to hold text books and binders?",2,g
B0076PL754,"Safavieh Home Collection Oliver Walnut Wicker Arm Chair, Set of 2","The elegant woven design of the Safavieh Home Collection Oliver Walnut Wicker Arm Chair is the perfect accent to any d&#xE9;cor. The warm brown color of the Oliver Wicker Arm Chair is sure to give your living space an inviting feel. Standing on sturdy mango wood legs, you will be enjoying your Oliver Wicker Arm Chair for years to come. These chairs come in a set of two. No assembly required, these chairs measure 26.4-inch wide by 20.1-inch deep by 38.6-inch tall.",can i buy three,1,g
B0001GSSIO,Filtron Cold Water Coffee Concentrate Brewer,"Cold brewing reduces the amount of acid in coffee. The coffee concentrate can be used to make iced coffee, hot coffee, and milk drinks like lattes and macchiatos. Comes with a coffee bowl, water bowl, filter pad, rubber stopper, grounds guard, measuring cup, 1.5 liter decanter, and 2 sample paper filters. This item is extremely simple, easy to use, and brews excellent coffee.",how does the filtron work for brewing tea?,4,s
B004Q3YG8Y,"Best Selling York Storage Ottoman, Ivory","Tired of looking for just the right ottoman for a large room, or for placement in front of a large sofa, only to never find one that has both the size and the style you need? Allow us to introduce the York leather storage ottoman.","what demintion are the height and width and length, is it a hinged top or a lift off top?",2,g
B002B8P964,Black &amp; Decker 14291600 blender blade cutter.,"Black & Decker 14291600 blender blade cutter. Fits Black and Decker blender models BL1900, BL3900, BL4900, BL5000, BL5900, BL6000, BL9000.",can i use it on model 2900,4,s
B000IE9UUE,"Anchor Hocking 6-Pack Mocha Mug Beverage Set, 14-Ounce",Anchor Hocking is a leading marketer and manufacturer of glass products made right here in the United States of America.  Anchor Hocking was founded in 1905--over a hundred years experience making dependable quality glass for use in your home or business!  Anchor Hocking produces glassware that people can use in their homes every day.,what is the height dimension of this cup?,3,s
B001OE1XF2,Lansky Lawn &amp; Garden Multi Purpose Sharpener,"This garden tool has a specially designed shape for the easiest sharpening of all your garden tools, including the blades of lawnmowers, pruning shears and machete's.",what grit?,3,s
B004ZP7VI0,Kristyna Soft Cream Bonded Leather Sofa by Coaster,"The Kristyna sofa brings any living space to new levels of luxury, boasting buttery smooth white bonded leather upholstery. Sloped rolled arms, tufted backs and prominent stitching throughout. High-resiliency foam cushions adds a irresistible comfort.",is the back of the sofa also leather or does it need to go up against a wall?,4,s
B0063KF6YQ,Atlantic 88335760 Nuvo 2-Tier - Mocha,Choose the Nuvo for a transitional look with the same cutting-edge design sense as the rest of the collection. Its relaxed elegance and delicate curves conceal underlying stability. Lustrous painted shelves coupled with a powder-coated satin steel finish for the gram create the ultimate upscale accoutrement for your lifestyle.,what is the maximum height of an item that will fit on the interior shelf?,3,s
B002T1TUHC,"Primula Flowering Tea Set with Half-Moon 40-Ounce Pot, Black/Glass",The Primula 40-ounce teapot is perfect for brewing Primula tea flowers or your favorite loose tea. Included is a mesh loose tea infuser and 3 Flowering Green Teas with Jasmine. The stylish black plastic and glass construction is both sturdy and dishwasher safe.,can this go in the microwave?,-5,s
B0002HSFB2,Microwave Bacon Cooker - The Original Makin' Bacon Microwave Bacon Rack - Reduces Fat up to 35%,"Microwave Bacon Cooker Tray - The only way to cook bacon! This microwave bacon cooker cooks the bacon in the air and not in the fat. Simple and easy to use - hang the bacon over the bars, place one sheet of roller towel over the bacon and into the microwave. With the right amount of time you have crispy bacon with 35% less fat. Makin' Bacon is licensed for sale to Camerons Products by AdeF Ltd",can you use it to cook turkey bacon?,3,s
B000VVXT7Y,"Martex Super Soft Fleece King Blanket, Basil","The Super Soft Fleece Blanket offers the softest warmth of all in a good-looking blanket that?s also a breeze to launder and toss back on the bed. This is a perfect blanket for every bed ? master suite, kids? quarters and dorm rooms, too.",i want to send several to a dog shelter where the winters are cold...would these be good for that?,3,s
B0006LSCIA,Reed &amp; Barton Bristol Flatware Chest,"Bristol flatware chest holds up to 210 pieces, including 12 knives and 12 spreaders.  Has 8-slot drawer rack for extra pieces.  Mahogany finish and lined in brown tarnish-preventive silver cloth.",hello a question that only sell the drawer without the cover?,4,s
B004OSC8OK,Proctor-Silex 43603 12 Cup Coffeemaker,"The perfect cup of coffee is easy to brew with the Proctor Silex 12 cup Coffeemaker. Enjoy conveniences like auto pause and serve, lighted ""on"" switch, dishwasher safe filter basket and carafe, and easy view water window .",is it hard to clean?,1,g
B000GT6DN8,"Coaster Contemporary Style Dining Chairs, Cappuccino Wood Finish, Set of 2","2 Contemporary Style Cappuccino Finish Wood Dining Chairs. This is a set of 2 contemporary style dining chairs. The side chairs are crafted from solid hardwoods in rich cappuccino finish. Matching dining chairs are feature strong durable micro fiber seat in a deep mocha color. These chairs will add a superlative look to your dining room. Stylish, beautiful and perfect for any contemporary style home decor. Matching dining table is sold separately. Item may require simple assembly. Dimensions Measure: 17-3/4""W x 21-3/4""D x 39""H.",do they match the coaster cappuccino table?,4,s
