ident,title,description,question,annotation_score,annotation_category
B008336SPM,Skyline Furniture Inset Nail Button Queen Headboard in Groupie Pewter,"This trendy headboard is upholstered in a fashionable, woven fabric. It&#x2019;s accented with a row of ornamental nail buttons inset from the silhouette. Its curvaceous design is guaranteed to make this headboard a showpiece to any bedroom. Handmade in the USA. Attaches to any standard bed frame.",how tall is this at the outside corners?,2,g
B000UBAEUA,Chelsea Pattern White Wicker Hamper with Vinyl Lid 4250,Redmon's Budget Series is a classic line of hampers and wastebaskets with a variety of looks and appeal. The line incorporates decorative woven pattern and trim along with the always expected - Redmon quality.,what are dimensions,1,g
B0050DBO0M,Fabric in Lay Folding Room Screen Divider in Cherry Finish Wood (4 Panel),"4 panel room screen divder. 71""H x 70""W. Fabric in Lay with Cherry color wood frame. Please note that the fabric in lay is transparent.",does this fabric divider also fit into the shoji room divider stand?,-5,g
B00147O9HI,Gift Warehouse 35603 Hanging Iron Pot Rack,"An intricate swirl design makes this wrought iron hanging pot holder with 8 large hooks and 4 small hooks a useful work of art for the kitchen. 31 5/16"" x 15 7/8"" x 11 13/16"" high.",where is it made?,1,g
B000AS3OW8,Behrens 6110 10-Gallon Locking Lid Can,"Behrens 10-Gallon Locking Lid can is ideal for bird seed, grass seed and pet food storage. Made of durable galvanized steel this can is better than plastic. It is rodent proof, won't absorb odors or leach into food or seed. It also makes a terrific ash can. It is fully recyclable and made with no oil. Built to last with an offset bottom that keeps the can off the ground and large handles for easy carrying. Made in the U.S.A",does it come with a lid,2,g
B000HJDCIQ,Granite Ware 6414-6 10-Quart Dish Pan,"More and more families are camping outdoors whenever the weather permits. The construction is durable porcelain fused to a steel core for easy clean up and years of use.  This 10 quart, blue, dish pan is perfect for washing dishes on your camping adventure.",would this be a good pan for foot soaks?,3,s
B0007Z8G9U,Alessi Kettle By Richard Sapper with Melodic Whistle (9091 FM),9091 Features: -Material: Stainless steel mirror polished.-With melodic whistle in brass and handle in PA.-67.63 fl oz. Dimensions: -Dimensions: 7.48'' H x 6.5'' W.,where is this made?,1,g
B000I1ZQLY,Artland Simplicity Trifle Bowl,"This collection is made of Hand Blown glass.  As the name suggests, this collection is simple but sophisticated.  This collection is made to be used for everyday entertaining.",what are the dimensions of the artland trifle bowl?,4,s
B0064OE2NM,Italian Bottling Spigot,"The Italian Bottling Spigot is a high quality, durable plastic spigot. It disassembles for easy cleaning. Attach 3/8"" I.D. tubing and your bottle filler for easier bottling. To install all you need to do is drill a 1"" hole and tighten the washer onto your bucket.",can you rotate the spigot so it points up for storage?,4,s
B003X3MXQA,"Danby Premiere DPAC12010H 12,000 BTU portable air conditioner with heater- Euro Grey","Stay comfortable all year round. This 4-in-1 home comfort system is a 12000 BTU capacity air conditioner, large capacity dehumidifier, heater, and 3 speed fan. With a coverage area of 500 sq. ft. this unit is perfect for your living room or bedroom. The electronic controls, LED display and remote control allow you to easily control the temperature from anywhere.",operating instructions,-5,g
B008XBADYQ,"Cuisinart CPM-700BK EasyPop Popcorn Maker, Black","The Cuisinart EasyPop Popcorn Maker makes it easier than ever to pop crunchy homemade popcorn. The Cuisinart Easy Pop Popcorn Maker pops up to 16 cups and has special vents in the popping bowl to let moisture escape. Popcorn lovers can select the desired amount of oil and salt to make popcorn just the way they like it. When popping is complete, they can serve right from the popping bowl. The Cuisinart EasyPop Popcorn Maker operates with the simple flip of a switch. Cleanup is easy too: all removable are parts are dishwasher safe. Limited 3-year warranty.",is this pop corn maker easy to clean,-5,s
B000H0Y4XM,Hamilton Beach True Air Odor Eliminator,"Febreze brand compact plug-in odor removal appliance removes odors throughout the home - plugs into any 120 v outlet - quiet & discrete with a low cost carbon filter that lasts up to 120 days - removes pet odors , tobacco odors and odors from bathrooms , bedrooms, kitchens , and closets .",does the unit have an on/off switch?,1,g
B003FO2I1W,7.5&quot; Non-Slip Safety Shower Treads,"Our popular Non-Slip Safety Shower Treads improve traction in all kinds of slippery places. Many customers use them as bathtub treads as well as in boats and other smooth, non-porous surfaces such as porcelain, fiberglass and wood.",are there instructions for laying them out in a pattern?,-5,s
